state,county,county_fips,year,pollutant,days_over_standard,person_days_over_standard
Colorado,Adams,08001,1999,O3,4,1421232
Colorado,Adams,08001,2000,O3,0,0
Colorado,Adams,08001,2001,O3,0,0
Colorado,Adams,08001,2002,O3,2,742362
Colorado,Adams,08001,2003,O3,0,0
Colorado,Adams,08001,2004,O3,0,0
Colorado,Adams,08001,2005,O3,7,2767688
Colorado,Adams,08001,2006,O3,1,407587
Colorado,Adams,08001,2007,O3,3,1247745
Colorado,Adams,08001,2008,O3,14,5951932
Colorado,Adams,08001,2009,O3,6,2617938
Colorado,Adams,08001,2011,O3,12,5426496
Colorado,Adams,08001,2012,O3,7,3223773
Colorado,Adams,08001,2013,O3,14,6579944
Colorado,Adams,08001,2014,O3,2,960144
Colorado,Adams,08001,2015,O3,3,1471686
Colorado,Adams,08001,2016,O3,1,498007
Colorado,Adams,08001,2017,O3,1,503890
Colorado,Adams,08001,2018,O3,1,511707
Colorado,Arapahoe,08005,1999,O3,10,4813060
Colorado,Arapahoe,08005,2000,O3,17,8342274
Colorado,Arapahoe,08005,2001,O3,10,5016710
Colorado,Arapahoe,08005,2002,O3,17,8678551
Colorado,Arapahoe,08005,2003,O3,28,14457912
Colorado,Arapahoe,08005,2004,O3,6,3142290
Colorado,Arapahoe,08005,2005,O3,19,10036066
Colorado,Arapahoe,08005,2006,O3,31,16617581
Colorado,Arapahoe,08005,2007,O3,10,5458820
Colorado,Arapahoe,08005,2009,O3,4,2265920
Colorado,Arapahoe,08005,2010,O3,7,4023733
Colorado,Arapahoe,08005,2011,O3,23,13476620
Colorado,Arapahoe,08005,2012,O3,24,14315976
Colorado,Arapahoe,08005,2013,O3,18,10948716
Colorado,Arapahoe,08005,2014,O3,1,618832
Colorado,Arapahoe,08005,2015,O3,2,1261198
Colorado,Arapahoe,08005,2016,O3,6,3831078
Colorado,Arapahoe,08005,2017,O3,7,4508616
Colorado,Arapahoe,08005,2018,O3,15,9775650
Colorado,Archuleta,08007,2018,O3,0,0
Colorado,Boulder,08013,1999,O3,5,1419620
Colorado,Boulder,08013,2000,O3,5,1381275
Colorado,Boulder,08013,2001,O3,4,1134040
Colorado,Boulder,08013,2002,O3,11,3128763
Colorado,Boulder,08013,2003,O3,23,6503549
Colorado,Boulder,08013,2004,O3,0,0
Colorado,Boulder,08013,2005,O3,8,2263280
Colorado,Boulder,08013,2006,O3,19,5436527
Colorado,Boulder,08013,2007,O3,22,6352654
Colorado,Boulder,08013,2008,O3,14,4085578
Colorado,Boulder,08013,2009,O3,5,1468205
Colorado,Boulder,08013,2010,O3,6,1773630
Colorado,Boulder,08013,2011,O3,14,4203318
Colorado,Boulder,08013,2012,O3,19,5801004
Colorado,Boulder,08013,2013,O3,13,4030689
Colorado,Boulder,08013,2014,O3,3,939261
Colorado,Boulder,08013,2015,O3,7,2232531
Colorado,Boulder,08013,2017,O3,10,3233670
Colorado,Boulder,08013,2018,O3,29,9443473
Colorado,Clear Creek,08019,2015,O3,2,18578
Colorado,Clear Creek,08019,2017,O3,2,19228
Colorado,Clear Creek,08019,2018,O3,13,125476
Colorado,Denver,08031,1999,O3,2,1091034
Colorado,Denver,08031,2000,O3,4,2226952
Colorado,Denver,08031,2001,O3,5,2816500
Colorado,Denver,08031,2002,O3,7,3913630
Colorado,Denver,08031,2003,O3,15,8405220
Colorado,Denver,08031,2004,O3,0,0
Colorado,Denver,08031,2005,O3,7,3916213
Colorado,Denver,08031,2006,O3,10,5628620
Colorado,Denver,08031,2007,O3,9,5133933
Colorado,Denver,08031,2008,O3,5,2909515
Colorado,Denver,08031,2009,O3,0,0
Colorado,Denver,08031,2010,O3,3,1814637
Colorado,Denver,08031,2011,O3,10,6220850
Colorado,Denver,08031,2012,O3,14,8912890
Colorado,Denver,08031,2013,O3,4,2603504
Colorado,Denver,08031,2014,O3,0,0
Colorado,Denver,08031,2015,O3,4,2739304
Colorado,Denver,08031,2016,O3,3,2093232
Colorado,Denver,08031,2017,O3,0,0
Colorado,Denver,08031,2018,O3,7,5027288
Colorado,Douglas,08035,2004,O3,10,2336460
Colorado,Douglas,08035,2005,O3,28,6844376
Colorado,Douglas,08035,2006,O3,41,10571153
Colorado,Douglas,08035,2007,O3,23,6177777
Colorado,Douglas,08035,2008,O3,17,4704580
Colorado,Douglas,08035,2009,O3,7,1975141
Colorado,Douglas,08035,2010,O3,13,3732612
Colorado,Douglas,08035,2011,O3,22,6439026
Colorado,Douglas,08035,2012,O3,36,10758744
Colorado,Douglas,08035,2013,O3,25,7662250
Colorado,Douglas,08035,2014,O3,8,2518544
Colorado,Douglas,08035,2015,O3,11,3545509
Colorado,Douglas,08035,2016,O3,16,5256768
Colorado,Douglas,08035,2017,O3,17,5714533
Colorado,Douglas,08035,2018,O3,24,8239824
Colorado,El Paso,08041,1999,O3,1,508815
Colorado,El Paso,08041,2000,O3,3,1559406
Colorado,El Paso,08041,2001,O3,3,1609008
Colorado,El Paso,08041,2002,O3,7,3816680
Colorado,El Paso,08041,2003,O3,13,7171684
Colorado,El Paso,08041,2004,O3,3,1675365
Colorado,El Paso,08041,2005,O3,14,7970508
Colorado,El Paso,08041,2006,O3,16,9320032
Colorado,El Paso,08041,2007,O3,10,5887720
Colorado,El Paso,08041,2008,O3,6,3594360
Colorado,El Paso,08041,2009,O3,1,608518
Colorado,El Paso,08041,2010,O3,4,2508928
